,formatted_address,replies,views,views_replies_ratio,last_posted_at,recency,latitude,longitude,replies_score,views_score,recency_score,views_replies_ratio_score,total_score
1086,"Petaling Jaya, Selangor, Malaysia",52,4899,0.007417601698458105,2019-10-13,2800.4,3.1278870999999997,101.5944885,7,6,2,3,504
1087,"Phoenix Towers, #16 & 16/1, 4th Floor, Museum Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",44,6777,0.006492548325217648,2019-09-19,307.0,12.9720007,77.6045134,6,6,8,3,36
1088,"Phoenix, AZ, USA",17,1613,0.010539367637941723,2014-12-01,2060.0,33.4483771,-112.07403729999999,5,4,4,4,20
1089,"Pinellas County Schools, FL, USA",30,1405,0.021352313167259787,2016-08-19,1433.0,27.876394,-82.7778579,6,4,5,5,36
1090,"Pinnacle PJ, A, 21-01, Lorong Utara C, Pjs 52, 47100 Petaling Jaya, Selangor, Malaysia",195,40850,0.003621049808501854,2019-12-24,1067.5,3.1037508999999996,101.6400111,8,9,6,2,144
1091,"Pjs 9, 47500 Subang Jaya, Selangor, Malaysia",16,2084,0.007677543186180422,2019-10-03,293.0,3.0589304,101.6102999,4,5,8,3,320
1092,"Platinum Suites Bukit Bintang, 1020, Jalan Sultan Ismail, Kampung Baru, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",2,1227,0.0016299918500407497,2013-07-26,2553.0,3.1583490000000003,101.703792,2,4,3,1,4
1093,"Platinum Suites Gallery Lot 129, Jalan Cendana, Off, Jalan Sultan Ismail, Kampung Baru, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",71,16644,0.004265801490026436,2018-08-01,721.0,3.1577341,101.7043581,7,8,7,2,504
1094,"Plaza Mentari (Sun City), Lot 1-07, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor, Malaysia",3,319,0.009404388714733543,2013-06-06,2603.0,1.4764335,103.76877059999998,2,1,2,4,4
1095,"Plaza OSK, Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",18,1389,0.012958963282937365,2018-06-18,765.0,3.1609465,101.7170445,5,4,7,5,20
1096,"Plaza Pantai, 5, Jalan 4/93a, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",12,1826,0.007598797547398346,2019-04-11,1719.0,3.1154257999999997,101.66778459999999,4,4,5,3,320
1097,"Plaza Rah Condominium, 111 Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",12,1203,0.00997506234413965,2011-03-30,3402.0,3.1668311,101.7032214,4,4,1,4,320
1098,"Pontian District, Johor, Malaysia",0,209,0.0,2012-06-21,2953.0,1.4869255,103.388961,1,1,2,1,10
1099,"Port Dickson, Negeri Sembilan, Malaysia",1,776,0.001288659793814433,2011-11-20,3167.0,2.5225400000000002,101.79629320000001,1,3,1,1,10
1100,"Precinct 6, 62000 Putrajaya, Malaysia",40,8540,0.0038959943750833,2018-09-05,1282.5,2.8976626,101.66642399999999,6,7,6,2,36
1101,"Presint 8, 62000 Putrajaya, Malaysia",386,46884,0.008233085914171146,2020-02-23,150.0,2.9268077,101.6803075,9,9,9,4,81
1102,"Prima Damansara, 47830 Petaling Jaya, Selangor, Malaysia",13,2109,0.006164058795637743,2014-06-06,2238.0,3.1975852000000002,101.5991589,4,5,3,3,320
1103,"Prima Seri Gombak, 68100 Batu Caves, Selangor, Malaysia",4,1424,0.0028089887640449437,2012-04-10,3025.0,3.238543,101.70013,3,4,2,1,60
1104,"Prisma Harta Sdn. Bhd, Pusat Komuniti, Plot A, Jalan Prisma Utama, Rumah Iskandar Malaysia, 79200 Nusajaya, Johor, Malaysia",1,372,0.002688172043010753,2013-07-14,2565.0,1.4767794,103.61355209999999,1,1,2,1,10
1105,"Puchong, Selangor, Malaysia",409,37566,0.010148064483642893,2018-08-19,1837.5,3.0327152,101.618802,9,9,4,4,81
1106,"Puncak Alam, 42300 Kuala Selangor, Selangor, Malaysia",82,7138,0.011487811711964136,2020-05-27,56.0,3.2298046,101.40752990000001,7,6,9,5,504
1107,"Puncak Jalil, 43300 Seri Kembangan, Selangor, Malaysia",78,9044,0.008051932902565952,2015-11-30,2256.0,3.017074,101.67552679999999,7,7,3,4,504
1108,"Pusat Bandar, 2, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",1247,207967,0.0059961436189395435,2020-07-08,14.0,3.0539633,101.6712777,10,10,10,3,120
1109,"Pusat Komersial Anggun City, 01-1, Jalan Anggun City 1, Taman Anggun, 48000 Rawang, Selangor, Malaysia",99,12927,0.00765838941749826,2018-03-01,874.0,3.3174163999999995,101.53604320000001,8,7,7,3,144
