,name,replies,views,last_posted_at,len_name,weird_characters
108,216 RESIDENCES  @ KUCHAI LAMA,176,"22,379",2020-07-12 01:22:00,29,False
109,THE VALLEYS AT SKYSIERRA @ SETIAWANGSA,136,"28,093",2020-07-12 01:15:00,38,False
111,SOLASTA @ PERSIARAN DUTAMAS,"1,375","142,279",2020-07-11 15:53:00,27,False
112,TROPICANA METROPARK | PAISLEY SERVICED RESIDENCES,198,"40,501",2020-07-11 15:04:00,49,False
113,"SUNSURIA FORUM @ 7TH AVENUE, SETIA ALAM",85,"15,251",2020-07-11 14:13:00,39,False
114,RUMBIA & IXORA RESIDENCE | ARI PERMAISURI,108,"15,747",2020-07-11 12:14:00,41,False
115,"CHERAS, NEW LANDED PROPERTY ",38,"5,388",2020-07-10 23:08:00,28,False
116,MAINLAND CHINESE BUYS NEW & SUBSALE KL PROPERTIES,70,"4,274",2020-07-10 22:00:00,49,False
117,RESIDENSI WILAYAH SENTRALMAS @ Taman Desa,20,"1,335",2020-07-10 21:01:00,41,False
118,SetiaSky Residence,50,"11,910",2020-07-10 20:57:00,18,False
119,"M Oscar @ Happy Garden, PJ",763,"99,574",2020-07-10 19:59:00,26,False
120,RICA RESIDENCE @ SENTUL,"2,699","170,749",2020-07-09 17:03:00,23,False
121,Ayuman Suites - Owners Thread,759,"47,992",2020-07-09 16:43:00,29,False
122,CYBERSQUARE @ CYBERJAYA ,487,"69,383",2020-07-09 15:06:00,24,False
123,looking to purchase first home,0,221,2020-07-09 14:54:00,30,False
124,Brezza Hill Ampang Bukit Permai,46,"7,447",2020-07-09 14:44:00,31,False
125,8TH & STELLAR RESIDENCES & SOHO @ SRI PETALING,127,"24,042",2020-07-09 13:21:00,46,False
126,Putra Majestik The hidden Gem,64,"7,499",2020-07-09 09:29:00,29,False
127,THE GOODWOOD RESIDENCE @ BANGSAR SOUTH,116,"19,319",2020-07-09 09:07:00,38,False
128,KENWINGSTON SKY LOFTS @ USJ 1 SUBANG JAYA,219,"38,816",2020-07-08 22:30:00,41,False
129,Rio Bangsar South by Malton,52,"8,740",2020-07-08 22:10:00,27,False
130,RESIDENSI GEMBIRA 737 ,579,"80,111",2020-07-08 19:46:00,22,False
131,GAMUDA GARDENS & KUNDANG ESTATES @ RAWANG,617,"89,720",2020-07-08 16:40:00,41,False
132,THE PARK 2 @ PAVILION BUKIT JALIL,"1,247","207,967",2020-07-08 15:17:00,33,False
133,BATU KAWAN,15,"1,005",2020-07-08 14:39:00,10,False
134,"THE CLIO 2 RESIDENCES @ IOI RESORT CITY, PUTRAJAYA",45,"4,744",2020-07-08 11:24:00,50,False
135,SETIA CITY RESIDENCES @ BANDAR SETIA ALAM,259,"25,415",2020-07-07 20:06:00,41,False
136,RIANA SOUTH @ CHERAS ,351,"42,701",2020-07-07 14:14:00,21,False
137,SAFE TO BUY OR Not - HTC TOWER,18,741,2020-07-07 12:39:00,30,False
138,SETIAWANGSA RESIDENCY,317,"57,758",2020-07-07 12:31:00,21,False
139,The Hipster @ Taman Desa by Aset Kayamas,533,"119,296",2020-07-07 09:57:00,40,False
140,RESIDENSI LAMAN SARI @ KL NORTH ,44,"9,804",2020-07-07 09:40:00,32,False
141,"PICASSO RESIDENCE, OFF JALAN AMPANG",109,"21,136",2020-07-07 02:08:00,35,False
142,AURORA @ SUBANG JAYA CITY CENTRE,379,"40,063",2020-07-07 02:00:00,32,False
143,LAKEVILLE RESIDENCE | SERI WAHYU  ,"1,942","293,785",2020-07-06 20:47:00,34,False
144,Topaz by Plenitude,12,293,2020-07-05 20:51:00,18,False
145,Aster Residence Cheras by Amber Homes,"1,833","239,996",2020-07-05 16:15:00,37,False
146,OUG Parklane  - Version 2,"2,077","245,319",2020-07-04 16:02:00,25,False
147,"PARC 3 @ KL SOUTH, CHERAS",929,"159,159",2020-07-04 14:55:00,25,False
148,ONE SOUTH | GREENZ | CUBE | ZETA RESIDENCE,321,"39,282",2020-07-04 14:52:00,42,False
149,TRADERS GARDEN @ CHERAS TRADERS SQUARE,216,"28,100",2020-07-04 13:26:00,38,False
150,KIARA 163 @ MONT KIARA | SOVO | HOTEL S | THE OOAK,"1,056","106,478",2020-07-04 10:44:00,50,False
151,DORSETT WATERFRONT @ SUBANG,609,"87,801",2020-07-03 15:00:00,27,False
152,10 KINRARA @ BANDAR KINRARA,110,"22,653",2020-07-03 14:45:00,27,False
153,CITY OF GREEN @ BUKIT JALIL ,"1,228","200,884",2020-07-03 13:00:00,28,False
154,Edusentral Setia Alam,91,"7,840",2020-07-03 11:06:00,21,False
155,PLATINUM MIRA RESIDENCES @ MALURI,911,"120,457",2020-07-03 10:31:00,33,False
156,D'IMMERSIONE @ SOLARIS DUTAMAS,83,"14,027",2020-07-03 10:06:00,30,False
