,areas_within,replies,views,total_score,address,polygon
20,BANDAR PUTRA PERDANA,171,32729,114.8,5,"POLYGON ((101.602755 2.925191, 101.591693 2.945419, 101.581567 2.962382, 101.584735 2.962389, 101.617309 2.962459, 101.618699 2.959604, 101.615201 2.956035, 101.616343 2.95061, 101.62391 2.950324, 101.624485 2.937536, 101.613938 2.931361, 101.603483 2.925593, 101.602755 2.925191))"
21,BANDAR SRI PERMAISURI,492,68506,40.333333333333336,3,"POLYGON ((101.709756 3.094928, 101.70951 3.095378, 101.709402 3.095576, 101.706219 3.098086, 101.70585 3.1013, 101.708087 3.10464, 101.708209 3.10481, 101.709185 3.104737, 101.711544 3.104494, 101.712415 3.105738, 101.71447 3.108194, 101.715224 3.108765, 101.715639 3.109119, 101.718524 3.110251, 101.719673 3.111672, 101.719835 3.112612, 101.719825 3.112976, 101.719744 3.113643, 101.719734 3.114396, 101.723439 3.114477, 101.7235 3.113547, 101.72354 3.113011, 101.723652 3.112687, 101.722467 3.112212, 101.722022 3.111576, 101.721789 3.110716, 101.721921 3.109867, 101.721971 3.109655, 101.722457 3.108543, 101.721961 3.108134, 101.721435 3.107931, 101.720159 3.10785, 101.71941 3.108012, 101.719349 3.108578, 101.718337 3.109104, 101.71779 3.108841, 101.715826 3.106011, 101.715138 3.105202, 101.714794 3.104474, 101.714875 3.103726, 101.715239 3.10314, 101.714449 3.101512, 101.710987 3.096256, 101.710177 3.095103, 101.709756 3.094928))"
22,BANDAR SRI PETALING,49,6428,36.0,1,"POLYGON ((101.684036 3.075033, 101.688835 3.075209, 101.695672 3.075119, 101.69978 3.075236, 101.699749 3.074799, 101.699803 3.074367, 101.699948 3.073502, 101.698691 3.073225, 101.694969 3.072403, 101.69495 3.070565, 101.694752 3.069394, 101.69403 3.067305, 101.693219 3.065656, 101.692959 3.063434, 101.690164 3.063598, 101.687765 3.064048, 101.683797 3.065752, 101.681853 3.066318, 101.679237 3.071944, 101.677763 3.07485, 101.680843 3.074979, 101.684036 3.075033))"
23,BANDAR SUNGAI LONG,3,2028,7.0,2,"POLYGON ((101.791893 3.035229, 101.788171 3.036664, 101.788376 3.040144, 101.788477 3.040745, 101.792764 3.040957, 101.800331 3.041243, 101.80133 3.040886, 101.801616 3.040029, 101.802901 3.041172, 101.800545 3.044312, 101.808397 3.049595, 101.824404 3.051095, 101.818672 3.045568, 101.816318 3.043828, 101.811405 3.040246, 101.810075 3.036152, 101.808744 3.033388, 101.805162 3.030113, 101.802262 3.035014, 101.799049 3.036144, 101.795183 3.036441, 101.791893 3.035229))"
24,BANDAR TEKNOLOGI KAJANG,10,420,320.0,1,"POLYGON ((101.818207 2.973538, 101.818207 2.975265, 101.824388 2.97632, 101.827302 2.977008, 101.828026 2.97639, 101.832324 2.972721, 101.833549 2.969904, 101.832324 2.967699, 101.831099 2.965984, 101.829752 2.962677, 101.827057 2.958879, 101.822403 2.95251, 101.821423 2.95398, 101.818728 2.95398, 101.815558 2.954935, 101.815041 2.960792, 101.815041 2.963053, 101.817001 2.964712, 101.816548 2.970139, 101.818207 2.972401, 101.818207 2.973538))"
25,BANDAR TUN HUSSEIN ONN,65,12909,282.0,2,"POLYGON ((101.761837 3.030204, 101.758566 3.02842, 101.754759 3.02717, 101.753554 3.02734, 101.753078 3.031861, 101.753516 3.052192, 101.753568 3.052865, 101.756827 3.052888, 101.756767 3.055922, 101.757535 3.055933, 101.763629 3.056016, 101.763481 3.054678, 101.762529 3.054588, 101.762482 3.053456, 101.762654 3.049344, 101.762311 3.04843, 101.762254 3.045861, 101.760769 3.043576, 101.757057 3.039636, 101.755458 3.039122, 101.755058 3.037123, 101.7574 3.034097, 101.761837 3.030204))"
26,BANDAR UTAMA BU 10 - BU 12,102,8950,178.0,3,"POLYGON ((101.595803 3.127261, 101.59692 3.135147, 101.607759 3.134183, 101.607115 3.130012, 101.607565 3.128227, 101.606767 3.126788, 101.608826 3.123302, 101.608417 3.122749, 101.606909 3.123075, 101.602324 3.121106, 101.601801 3.123299, 101.602157 3.12718, 101.595803 3.127261))"
27,BANDAR UTAMA BU 3 - BU 8,215,24720,134.0,4,"POLYGON ((101.607759 3.134183, 101.59692 3.135147, 101.597656 3.145177, 101.598595 3.149868, 101.60016 3.150158, 101.601584 3.151674, 101.604892 3.155258, 101.607327 3.155487, 101.615317 3.155531, 101.615289 3.154606, 101.615242 3.152435, 101.615637 3.151373, 101.617139 3.150222, 101.617139 3.150222, 101.612381 3.147723, 101.611324 3.145426, 101.611554 3.141751, 101.60967 3.137937, 101.607832 3.135778, 101.607759 3.134183))"
28,BANGI,3441,304375,120.0,2,"POLYGON ((101.738242 2.88967, 101.734173 2.895697, 101.743801 2.904568, 101.74552 2.9052, 101.748231 2.906194, 101.754076 2.909719, 101.75498 2.911829, 101.75592 2.916433, 101.756717 2.915411, 101.758165 2.913555, 101.760592 2.91152, 101.76302 2.9097, 101.764411 2.908165, 101.766075 2.905574, 101.798275 2.905423, 101.798608 2.901241, 101.797854 2.896416, 101.796949 2.895512, 101.794505 2.895376, 101.791522 2.89521, 101.7904 2.895342, 101.789017 2.895079, 101.78778 2.89327, 101.785495 2.892699, 101.778357 2.892223, 101.776138 2.895484, 101.779303 2.898069, 101.779987 2.901253, 101.773485 2.901253, 101.766774 2.898243, 101.765625 2.897727, 101.760828 2.897938, 101.755855 2.897787, 101.752389 2.89402, 101.74845 2.891709, 101.738242 2.88967))"
29,BANGSAR SOUTH,3552,678121,137.33333333333334,12,"POLYGON ((101.666426 3.10866, 101.663717 3.108598, 101.659059 3.109515, 101.659059 3.109516, 101.659059 3.109516, 101.658628 3.110089, 101.65844 3.11034, 101.65844 3.11034, 101.659335 3.112898, 101.658602 3.113115, 101.658563 3.113127, 101.664489 3.115205, 101.669809 3.115368, 101.669782 3.114406, 101.669121 3.113112, 101.668542 3.108708, 101.666426 3.10866))"
