,areas_within,replies,views,total_score,address,polygon
183,PERSIARAN SYED PUTRA,226,39289,176.0,4,"POLYGON ((101.679663 3.116493, 101.679224 3.118097, 101.678228 3.121736, 101.678223 3.121794, 101.679544 3.122317, 101.679942 3.122493, 101.68101 3.123901, 101.682173 3.125492, 101.682181 3.125502, 101.682181 3.125502, 101.68296 3.125212, 101.68545 3.126213, 101.687556 3.127196, 101.687981 3.127479, 101.688604 3.126584, 101.688989 3.12523, 101.690041 3.123916, 101.692694 3.12157, 101.693625 3.122642, 101.695346 3.123471, 101.69563 3.123612, 101.696764 3.123633, 101.697432 3.124542, 101.697938 3.125958, 101.698404 3.126332, 101.698345 3.126214, 101.698375 3.12614, 101.698537 3.126067, 101.699113 3.12586, 101.701556 3.124497, 101.70321 3.122772, 101.703495 3.122202, 101.699659 3.115066, 101.695974 3.112397, 101.694516 3.111184, 101.693666 3.110941, 101.690696 3.110306, 101.688905 3.111739, 101.68734 3.112535, 101.686189 3.11283, 101.683738 3.112602, 101.68176 3.113486, 101.680726 3.11443, 101.679959 3.115609, 101.679663 3.116493))"
184,PETALING SELATAN,5765,899492,109.2,5,"POLYGON ((101.67299 3.09472, 101.673522 3.094926, 101.674171 3.094248, 101.67485 3.093511, 101.675234 3.092715, 101.675175 3.092243, 101.674963 3.091192, 101.674083 3.086833, 101.673728 3.085801, 101.673374 3.085624, 101.672488 3.084769, 101.670628 3.083531, 101.66893 3.082374, 101.668611 3.08197, 101.668211 3.08186, 101.667618 3.081819, 101.667191 3.081805, 101.666832 3.081943, 101.664627 3.08248, 101.662092 3.082814, 101.662069 3.082806, 101.659881 3.082058, 101.659901 3.082179, 101.660017 3.082858, 101.659702 3.08371, 101.659242 3.084874, 101.659242 3.084874, 101.653634 3.086597, 101.659207 3.084896, 101.663536 3.086419, 101.663527 3.086452, 101.669575 3.088743, 101.669796 3.089045, 101.670017 3.089623, 101.669879 3.091578, 101.669686 3.092597, 101.670292 3.095157, 101.67299 3.09472))"
185,PETALING UTARA,789,92046,207.0,3,"POLYGON ((101.680843 3.074979, 101.677763 3.07485, 101.677384 3.075599, 101.677253 3.075857, 101.673861 3.080032, 101.671823 3.081545, 101.670628 3.083531, 101.672488 3.084769, 101.673374 3.085624, 101.673728 3.085801, 101.674083 3.086833, 101.674963 3.091192, 101.675575 3.091791, 101.676892 3.091737, 101.677776 3.091088, 101.679021 3.091269, 101.680043 3.091174, 101.67967 3.088625, 101.68059 3.088535, 101.680464 3.086085, 101.679454 3.085923, 101.679526 3.08486, 101.67967 3.083383, 101.681149 3.083689, 101.681168 3.078951, 101.680843 3.074979))"
186,PINGGIRAN BATU CAVES,39,9497,48.0,2,"POLYGON ((101.691234 3.253241, 101.690937 3.260141, 101.697361 3.260022, 101.697421 3.263056, 101.703072 3.26377, 101.703434 3.253811, 101.703476 3.252659, 101.703557 3.25174, 101.696918 3.252097, 101.694277 3.253097, 101.691234 3.253241))"
187,PINGGIRAN SUBANG,1098,140060,256.0,3,"POLYGON ((101.55602 3.154015, 101.554469 3.154064, 101.547547 3.154542, 101.539703 3.157608, 101.537785 3.160187, 101.536848 3.161962, 101.535706 3.164604, 101.535206 3.165424, 101.533454 3.166231, 101.529896 3.166007, 101.529824 3.169668, 101.529618 3.180704, 101.534725 3.178753, 101.539003 3.179543, 101.544917 3.184593, 101.544252 3.186187, 101.547378 3.186262, 101.553504 3.183878, 101.555035 3.183812, 101.55742 3.183046, 101.559892 3.182849, 101.559958 3.175039, 101.549019 3.175192, 101.55602 3.154015))"
188,PINGGIRAN USJ,19,2488,20.0,1,"POLYGON ((101.569469 3.044999, 101.571261 3.041441, 101.572013 3.04001, 101.571854 3.038979, 101.569757 3.03913, 101.567445 3.039519, 101.560918 3.040535, 101.555558 3.041637, 101.549052 3.042523, 101.551214 3.045333, 101.553526 3.047905, 101.554931 3.049569, 101.555234 3.050109, 101.555493 3.05508, 101.556012 3.055815, 101.556465 3.055966, 101.557805 3.056939, 101.558432 3.057393, 101.559297 3.057609, 101.559837 3.058387, 101.56001 3.058841, 101.560075 3.060073, 101.558778 3.062709, 101.566407 3.062104, 101.566602 3.06258, 101.570692 3.063009, 101.567694 3.059083, 101.564767 3.053443, 101.569469 3.044999))"
189,PJS 10/1 - PJS 10/16,17,2762,20.0,1,"POLYGON ((101.619892 3.084282, 101.623678 3.084732, 101.620514 3.082357, 101.617639 3.081778, 101.617733 3.080569, 101.615575 3.080343, 101.615381 3.08122, 101.615067 3.081073, 101.613421 3.081073, 101.610688 3.081093, 101.609954 3.080368, 101.610032 3.078056, 101.60916 3.078027, 101.609052 3.077047, 101.608915 3.076048, 101.609621 3.076058, 101.60964 3.075049, 101.608886 3.075049, 101.608808 3.074314, 101.60725 3.074539, 101.604458 3.073932, 101.604497 3.078536, 101.605222 3.079819, 101.607867 3.080015, 101.607534 3.081122, 101.607554 3.083195, 101.615384 3.083958, 101.619892 3.084282))"
190,PJS 10/17 - PJS 10/34,20,952,20.0,1,"POLYGON ((101.605282 3.083091, 101.607554 3.083195, 101.607534 3.081122, 101.607867 3.080015, 101.605222 3.079819, 101.604497 3.078536, 101.604458 3.073932, 101.601917 3.073576, 101.598354 3.073319, 101.597413 3.076265, 101.601146 3.07661, 101.602321 3.077235, 101.605282 3.083091))"
191,PJS 5 KAMPUNG PENAGA,9,2845,60.0,2,"POLYGON ((101.625164 3.08487, 101.62691 3.085041, 101.627385 3.085074, 101.627368 3.082885, 101.629455 3.082489, 101.629316 3.081713, 101.629182 3.080221, 101.629128 3.079154, 101.629012 3.078536, 101.628072 3.078663, 101.628151 3.079269, 101.627336 3.079297, 101.627317 3.076855, 101.627193 3.076349, 101.627048 3.075801, 101.627604 3.073999, 101.627319 3.072351, 101.624609 3.073442, 101.622252 3.072859, 101.621772 3.072545, 101.621296 3.075154, 101.621239 3.077229, 101.621924 3.078923, 101.623833 3.080475, 101.625207 3.082943, 101.625164 3.08487))"
192,PJS 6/4 - PJS 6/6,4,923,60.0,1,"POLYGON ((101.61775 3.075082, 101.615641 3.074774, 101.615575 3.080343, 101.617733 3.080569, 101.619565 3.080761, 101.619131 3.078792, 101.620123 3.078748, 101.620152 3.076706, 101.619183 3.076669, 101.619175 3.075986, 101.61775 3.075082))"
193,"PJS 7 , 9 & 11",1994,276142,84.63636363636364,11,"POLYGON ((101.615641 3.074774, 101.61775 3.075082, 101.617809 3.072202, 101.621144 3.072118, 101.620667 3.071515, 101.618832 3.065227, 101.618832 3.060986, 101.617931 3.059106, 101.612499 3.056031, 101.609777 3.058484, 101.608043 3.05916, 101.604566 3.060052, 101.598663 3.062579, 101.600451 3.062716, 101.60049 3.065714, 101.601157 3.065753, 101.601147 3.06782, 101.600451 3.06782, 101.600324 3.068565, 101.599736 3.068565, 101.599589 3.069035, 101.59909 3.069035, 101.59906 3.071543, 101.598727 3.072209, 101.598354 3.073319, 101.601917 3.073576, 101.604458 3.073932, 101.60725 3.074539, 101.608808 3.074314, 101.609286 3.074384, 101.612387 3.075009, 101.613085 3.074994, 101.61354 3.075207, 101.61379 3.075545, 101.614561 3.074678, 101.615641 3.074774))"
194,PJS 8,405,95363,70.5,2,"POLYGON ((101.613421 3.081073, 101.61354 3.075207, 101.613085 3.074994, 101.612387 3.075009, 101.609286 3.074384, 101.608808 3.074314, 101.608886 3.075049, 101.60964 3.075049, 101.609621 3.076058, 101.608915 3.076048, 101.609052 3.077047, 101.60916 3.078027, 101.610032 3.078056, 101.609954 3.080368, 101.610688 3.081093, 101.613421 3.081073))"
195,PUCHONG INDAH 1,87,12012,504.0,1,"POLYGON ((101.597389 3.020444, 101.606427 3.020399, 101.601881 3.016, 101.601291 3.013739, 101.61075 3.013745, 101.611071 3.012086, 101.611051 3.010282, 101.607608 3.010282, 101.607629 3.01165, 101.605804 3.011567, 101.605773 3.012283, 101.60115 3.012284, 101.599395 3.012768, 101.599035 3.011842, 101.59643 3.012874, 101.59916 3.020418, 101.597389 3.020444))"
196,PUCHONG JAYA BARAT,39,3227,48.0,2,"POLYGON ((101.617851 3.039607, 101.604091 3.042705, 101.605316 3.043442, 101.607224 3.045854, 101.609742 3.053486, 101.612499 3.056031, 101.612983 3.055074, 101.613689 3.054977, 101.615887 3.055102, 101.617076 3.055309, 101.617559 3.055765, 101.618154 3.057037, 101.621818 3.06142, 101.622536 3.061613, 101.623172 3.061724, 101.623905 3.059913, 101.628965 3.061917, 101.627942 3.060369, 101.6322 3.058461, 101.632076 3.058102, 101.632089 3.057646, 101.630112 3.057438, 101.627914 3.056609, 101.62638 3.055323, 101.622578 3.050484, 101.619053 3.043724, 101.618417 3.041871, 101.617851 3.039607))"
197,PUCHONG JAYA TIMUR,125,17887,88.0,3,"POLYGON ((101.617639 3.038561, 101.617851 3.039607, 101.618417 3.041871, 101.619053 3.043724, 101.622578 3.050484, 101.62638 3.055323, 101.627914 3.056609, 101.630112 3.057438, 101.632089 3.057646, 101.632196 3.054748, 101.633984 3.053288, 101.633892 3.04986, 101.632674 3.049805, 101.632767 3.04713, 101.632487 3.046321, 101.630569 3.045263, 101.63059 3.043428, 101.63115 3.041665, 101.63116 3.039903, 101.629176 3.038433, 101.628402 3.03786, 101.617639 3.038561))"
198,PUCHONG JAYA UTARA,5,1187,60.0,1,"POLYGON ((101.612499 3.056031, 101.617931 3.059106, 101.618832 3.060986, 101.618832 3.065227, 101.620397 3.063555, 101.622112 3.064145, 101.623172 3.061724, 101.622536 3.061613, 101.621818 3.06142, 101.618154 3.057037, 101.617559 3.055765, 101.617076 3.055309, 101.615887 3.055102, 101.613689 3.054977, 101.612983 3.055074, 101.612499 3.056031))"
199,PUCHONG PERDANA 1,79,13855,262.0,2,"POLYGON ((101.6102 3.020401, 101.613394 3.020287, 101.612523 3.01418, 101.614846 3.009151, 101.615799 3.008581, 101.617448 3.006756, 101.61806 3.006632, 101.618869 3.006269, 101.619035 3.00574, 101.618931 3.004569, 101.609174 3.004465, 101.609112 3.00629, 101.608614 3.007534, 101.607422 3.008768, 101.606561 3.007918, 101.605814 3.007949, 101.605804 3.011567, 101.607629 3.01165, 101.607608 3.010282, 101.611051 3.010282, 101.611071 3.012086, 101.61075 3.013745, 101.610449 3.015632, 101.6102 3.020401))"
200,PUDU HUJUNG,720,107018,120.0,1,"POLYGON ((101.710868 3.126682, 101.711976 3.128346, 101.712299 3.128801, 101.712287 3.129447, 101.71208 3.130196, 101.712068 3.13083, 101.712357 3.131568, 101.712599 3.13196, 101.712795 3.132421, 101.712807 3.133217, 101.712726 3.133816, 101.710606 3.136367, 101.711211 3.13675, 101.711743 3.136382, 101.713101 3.134377, 101.717545 3.130716, 101.71849 3.129949, 101.715307 3.125637, 101.715965 3.122927, 101.715237 3.123919, 101.714325 3.124195, 101.714129 3.124368, 101.710868 3.126682))"
201,PUDU ULU,911,120457,120.0,1,"POLYGON ((101.729592 3.125372, 101.727628 3.123841, 101.726564 3.125441, 101.725047 3.126123, 101.724924 3.126178, 101.71849 3.129949, 101.719169 3.130893, 101.719353 3.131877, 101.7197 3.132013, 101.722033 3.131276, 101.723391 3.130067, 101.72345 3.129794, 101.7241 3.128844, 101.724417 3.128895, 101.72472 3.129551, 101.727141 3.129057, 101.727849 3.128232, 101.728403 3.128711, 101.728912 3.12664, 101.729592 3.125372))"
202,PULAU MERANTI,976,158584,181.25,12,"POLYGON ((101.634864 2.980335, 101.681123 2.982382, 101.706933 2.983333, 101.706887 2.98313, 101.706585 2.982976, 101.706154 2.980165, 101.705376 2.979926, 101.704751 2.979176, 101.703117 2.978791, 101.702593 2.978651, 101.702489 2.978045, 101.702443 2.97802, 101.702279 2.978012, 101.696593 2.976653, 101.696408 2.976589, 101.695982 2.976368, 101.692951 2.974502, 101.692033 2.973993, 101.688587 2.97208, 101.688456 2.972024, 101.687291 2.971805, 101.685046 2.971596, 101.684285 2.971587, 101.683318 2.971576, 101.679137 2.971844, 101.676095 2.972171, 101.670236 2.970692, 101.669023 2.969962, 101.666886 2.968646, 101.66627 2.967947, 101.665012 2.966334, 101.663462 2.965177, 101.663462 2.965177, 101.662368 2.964418, 101.659938 2.956965, 101.659653 2.953182, 101.655141 2.948959, 101.655358 2.948403, 101.656298 2.945993, 101.653014 2.941425, 101.646875 2.94428, 101.637738 2.94428, 101.624485 2.937536, 101.62391 2.950324, 101.616343 2.95061, 101.615201 2.956035, 101.618699 2.959604, 101.617309 2.962459, 101.614597 2.965473, 101.61309 2.968939, 101.612035 2.972254, 101.611885 2.97587, 101.613944 2.979817, 101.627264 2.980146, 101.634864 2.980335))"
203,PUSAT BANDAR PUCHONG,409,37566,81.0,1,"POLYGON ((101.629176 3.038433, 101.629129 3.037071, 101.630771 3.036357, 101.630271 3.034786, 101.630387 3.032416, 101.629379 3.031967, 101.629986 3.029254, 101.629522 3.027255, 101.63045 3.027041, 101.63045 3.023543, 101.630806 3.023436, 101.631485 3.022508, 101.631136 3.021727, 101.628603 3.021654, 101.628175 3.026615, 101.627175 3.028935, 101.625819 3.028578, 101.624998 3.028507, 101.623927 3.028971, 101.622357 3.030827, 101.622036 3.031148, 101.620215 3.030577, 101.620965 3.027722, 101.61554 3.028757, 101.614949 3.028827, 101.615141 3.030911, 101.616703 3.033939, 101.617639 3.038561, 101.628402 3.03786, 101.629176 3.038433))"
204,PUTRA HEIGHT,5,906,60.0,1,"POLYGON ((101.58657 3.004488, 101.583766 2.993866, 101.580463 2.985093, 101.58044 2.984773, 101.578319 2.979764, 101.578185 2.979448, 101.578429 2.978398, 101.576519 2.978048, 101.57264 2.977337, 101.571477 2.977002, 101.567585 2.975881, 101.565131 2.976091, 101.562117 2.977529, 101.56089 2.977564, 101.56055 2.977867, 101.557624 2.980486, 101.55756 2.980543, 101.557544 2.980583, 101.557174 2.98156, 101.556964 2.983172, 101.551565 2.993443, 101.55153 2.994495, 101.553283 2.997054, 101.55451 2.999087, 101.554615 3.00077, 101.553633 3.002102, 101.552617 3.002768, 101.550689 3.00396, 101.549357 3.005888, 101.560054 3.002209, 101.566181 3.002381, 101.5663 3.003184, 101.568441 3.003095, 101.569363 3.003898, 101.571403 3.00387, 101.571356 3.012256, 101.583105 3.012196, 101.583134 3.011423, 101.586378 3.009229, 101.586094 3.008097, 101.584432 3.007889, 101.583488 3.007399, 101.583504 3.006277, 101.58657 3.004488))"
205,RINCHING HULU,18029,1201368,126.0,4,"POLYGON ((101.847146 2.94565, 101.847881 2.947733, 101.852046 2.94761, 101.855353 2.946875, 101.859885 2.946263, 101.864295 2.94663, 101.869194 2.947855, 101.869829 2.944649, 101.873351 2.93437, 101.873827 2.931324, 101.872114 2.929896, 101.871543 2.928469, 101.866498 2.923995, 101.868384 2.922197, 101.867602 2.921397, 101.86699 2.919927, 101.865887 2.918825, 101.863805 2.918702, 101.857377 2.918105, 101.856333 2.91809, 101.85327 2.918457, 101.849596 2.918457, 101.845554 2.917967, 101.842859 2.917845, 101.839796 2.918457, 101.835877 2.918212, 101.834774 2.917355, 101.833794 2.91466, 101.832814 2.913067, 101.830855 2.91319, 101.829262 2.912332, 101.826445 2.910985, 101.82326 2.909025, 101.820565 2.906208, 101.816768 2.904493, 101.814196 2.905105, 101.811623 2.90535, 101.818605 2.908658, 101.819708 2.912577, 101.822158 2.914782, 101.825832 2.91613, 101.827302 2.91809, 101.82816 2.920907, 101.829875 2.922377, 101.83061 2.924949, 101.831344 2.928746, 101.833549 2.930339, 101.836734 2.931441, 101.839551 2.933646, 101.842369 2.938423, 101.845309 2.941485, 101.846411 2.94369, 101.847146 2.94565))"
206,RUMAH PANGSA SRI JOHOR CHERAS,42,12867,36.0,1,"POLYGON ((101.719399 3.120435, 101.719552 3.118149, 101.719734 3.114396, 101.719744 3.113643, 101.719825 3.112976, 101.719835 3.112612, 101.719673 3.111672, 101.718524 3.110251, 101.715639 3.109119, 101.715224 3.108765, 101.71447 3.108194, 101.712415 3.105738, 101.711544 3.104494, 101.709185 3.104737, 101.708209 3.10481, 101.716046 3.115782, 101.716265 3.116565, 101.716467 3.117502, 101.716733 3.118961, 101.7166 3.120819, 101.7162 3.122146, 101.715965 3.122927, 101.717028 3.121526, 101.718401 3.120774, 101.719399 3.120435))"
207,RUMAH PANGSA SRI LABUAN CHERAS,499,68576,243.0,3,"POLYGON ((101.730093 3.110074, 101.730241 3.109777, 101.73092 3.107058, 101.731703 3.105819, 101.730536 3.105377, 101.731348 3.103343, 101.729267 3.102163, 101.731068 3.098574, 101.729621 3.096775, 101.728681 3.096907, 101.725 3.097424, 101.723878 3.09246, 101.725399 3.091914, 101.725059 3.090926, 101.722963 3.090823, 101.7197 3.088015, 101.719491 3.088062, 101.71941 3.092935, 101.720686 3.097181, 101.722386 3.100325, 101.722852 3.101659, 101.723277 3.102508, 101.725626 3.106476, 101.726456 3.107815, 101.730093 3.110074))"
208,RUMAH PANGSA SRI MELAKA CHERAS,364,61973,81.0,1,"POLYGON ((101.723439 3.114477, 101.724958 3.114517, 101.727509 3.115083, 101.728525 3.114125, 101.728687 3.113481, 101.727175 3.112202, 101.722457 3.108543, 101.721971 3.109655, 101.721921 3.109867, 101.721789 3.110716, 101.722022 3.111576, 101.722467 3.112212, 101.723652 3.112687, 101.72354 3.113011, 101.7235 3.113547, 101.723439 3.114477))"
209,RUMAH PANGSA SRI SABAH CHERAS,2012,337528,120.0,1,"POLYGON ((101.727628 3.123841, 101.728831 3.121851, 101.728466 3.119805, 101.725646 3.118389, 101.723378 3.118389, 101.720749 3.12041, 101.721974 3.12048, 101.727628 3.123841))"
210,SALAK SELATAN,17,884,20.0,1,"POLYGON ((101.706219 3.098086, 101.701838 3.101391, 101.704252 3.104343, 101.704414 3.105625, 101.704311 3.107578, 101.706732 3.106945, 101.706953 3.108448, 101.706998 3.109465, 101.706643 3.110674, 101.706717 3.112244, 101.706437 3.114028, 101.706572 3.114303, 101.707662 3.116519, 101.707898 3.117448, 101.708407 3.120329, 101.71099 3.118608, 101.712053 3.117811, 101.714189 3.116435, 101.714816 3.11713, 101.716141 3.11761, 101.716467 3.117502, 101.716265 3.116565, 101.716046 3.115782, 101.708209 3.10481, 101.708087 3.10464, 101.70585 3.1013, 101.706219 3.098086))"
211,SALAK TEMPATAN BUKIT,1010,174838,100.5,2,"POLYGON ((101.700221 3.082746, 101.699298 3.083054, 101.698017 3.083, 101.697296 3.083576, 101.697025 3.084495, 101.69684 3.084683, 101.694067 3.087504, 101.694554 3.088512, 101.695744 3.088945, 101.696773 3.088638, 101.697747 3.088837, 101.69845 3.089918, 101.699407 3.09071, 101.69993 3.091359, 101.700507 3.091971, 101.700687 3.092476, 101.701535 3.092295, 101.702852 3.089251, 101.703716 3.088899, 101.702724 3.087701, 101.701801 3.087471, 101.699483 3.084934, 101.699979 3.084324, 101.700486 3.083909, 101.700221 3.082746))"
212,SALAK TEMPATAN DALAM,29,2573,36.0,1,"POLYGON ((101.709756 3.094928, 101.710094 3.094309, 101.710233 3.093364, 101.710325 3.091337, 101.710486 3.087963, 101.710902 3.087237, 101.711317 3.086512, 101.711039 3.086017, 101.710678 3.08536, 101.70817 3.086712, 101.707664 3.086881, 101.7083 3.088044, 101.705865 3.09053, 101.704927 3.090908, 101.705017 3.091395, 101.705107 3.091611, 101.704891 3.09271, 101.707272 3.093646, 101.707344 3.094583, 101.708752 3.094962, 101.70951 3.095378, 101.709756 3.094928))"
213,SAUJANA IMPIAN,233,37388,102.0,2,"POLYGON ((101.787792 3.010135, 101.784399 3.020634, 101.785076 3.02081, 101.794667 3.023345, 101.798966 3.026928, 101.800399 3.026763, 101.802384 3.028306, 101.803376 3.028527, 101.805162 3.030113, 101.808744 3.033388, 101.810075 3.036152, 101.811405 3.040246, 101.816318 3.043828, 101.818672 3.045568, 101.824404 3.051095, 101.82727 3.052835, 101.827679 3.054473, 101.828924 3.055648, 101.829522 3.056213, 101.833616 3.056622, 101.836426 3.057822, 101.845342 3.055275, 101.834606 3.039626, 101.830967 3.037806, 101.830057 3.03817, 101.829511 3.036533, 101.82478 3.035623, 101.82478 3.033803, 101.820606 3.030701, 101.814467 3.024562, 101.800263 3.009752, 101.797572 3.009135, 101.794431 3.008207, 101.792718 3.007208, 101.790648 3.011206, 101.787792 3.010135))"
214,SEGAMBUT,2881,482189,114.0,5,"POLYGON ((101.634259 3.180837, 101.641429 3.180945, 101.653377 3.184124, 101.653424 3.186897, 101.658192 3.191091, 101.662044 3.188403, 101.663338 3.187387, 101.657642 3.185217, 101.657932 3.179722, 101.655518 3.178662, 101.655643 3.177406, 101.656477 3.177647, 101.656768 3.176615, 101.655732 3.176029, 101.65475 3.175678, 101.65453 3.175602, 101.653563 3.175133, 101.653563 3.175133, 101.653081 3.1749, 101.647532 3.175159, 101.647532 3.175159, 101.645835 3.170313, 101.645459 3.169415, 101.641344 3.16886, 101.641344 3.16886, 101.641105 3.165735, 101.633923 3.166111, 101.634737 3.170605, 101.635025 3.173952, 101.634354 3.173952, 101.634259 3.180837))"
215,SEKSYEN 1 WANGSA MAJU,487,53796,81.0,1,"POLYGON ((101.722756 3.203737, 101.725119 3.20575, 101.727374 3.208585, 101.728154 3.207676, 101.72913 3.206897, 101.730821 3.205555, 101.733552 3.20378, 101.735211 3.202076, 101.731271 3.199678, 101.730355 3.199557, 101.728507 3.199505, 101.727257 3.199247, 101.726431 3.198309, 101.722087 3.203357, 101.722756 3.203737))"
216,SEKSYEN 10 WANGSA MAJU,2700,507504,68.0,5,"POLYGON ((101.730551 3.184487, 101.734917 3.190905, 101.735696 3.191795, 101.736793 3.191949, 101.739624 3.193, 101.740381 3.190511, 101.740315 3.188868, 101.73913 3.184377, 101.73856 3.182537, 101.738188 3.177315, 101.738188 3.177315, 101.737939 3.177369, 101.73466 3.17809, 101.733909 3.178251, 101.73391 3.178255, 101.732614 3.180012, 101.732789 3.182597, 101.730902 3.182729, 101.730946 3.18378, 101.730858 3.183912, 101.730551 3.184487))"
217,SEKSYEN 14 UTARA,26,2334,320.0,2,"POLYGON ((101.633354 3.103977, 101.629853 3.103637, 101.626263 3.103407, 101.626247 3.104098, 101.627596 3.105379, 101.628357 3.106103, 101.629408 3.105982, 101.629845 3.106273, 101.628923 3.106758, 101.629242 3.107749, 101.629708 3.1092, 101.630557 3.110986, 101.628293 3.112159, 101.628349 3.11249, 101.626463 3.112877, 101.626681 3.113989, 101.627034 3.115688, 101.627493 3.116154, 101.627751 3.116355, 101.628357 3.115967, 101.632497 3.112725, 101.633427 3.111593, 101.634777 3.105828, 101.633354 3.103977))"
218,SEKSYEN 16,59,5894,225.33333333333334,3,"POLYGON ((101.638291 3.12101, 101.638405 3.121438, 101.638356 3.124106, 101.638324 3.125982, 101.638574 3.126831, 101.640183 3.129687, 101.640248 3.129803, 101.640254 3.129813, 101.64084 3.129549, 101.641755 3.129156, 101.642996 3.128663, 101.643791 3.127916, 101.645426 3.127563, 101.645641 3.127517, 101.646145 3.128295, 101.646398 3.128089, 101.646398 3.128089, 101.647786 3.126939, 101.649746 3.125628, 101.648971 3.12613, 101.648403 3.125112, 101.644366 3.12055, 101.643829 3.119242, 101.643829 3.119242, 101.643814 3.118594, 101.643814 3.118594, 101.638334 3.118788, 101.638291 3.12101))"
219,SEKSYEN 17A,1,612,10.0,1,"POLYGON ((101.624686 3.130463, 101.625216 3.131878, 101.629186 3.130341, 101.629663 3.130245, 101.629663 3.130245, 101.630696 3.130036, 101.630696 3.130036, 101.631953 3.131188, 101.63276 3.131284, 101.63338 3.131358, 101.634255 3.131689, 101.633311 3.128071, 101.632805 3.128145, 101.631476 3.128169, 101.630358 3.128508, 101.629841 3.128664, 101.629216 3.12883, 101.628139 3.129175, 101.6268 3.129487, 101.624686 3.130463))"
220,SEKSYEN 19,485,74625,50.5,2,"POLYGON ((101.629825 3.117269, 101.629035 3.116576, 101.628357 3.115967, 101.627751 3.116355, 101.627493 3.116154, 101.626486 3.116996, 101.625792 3.118266, 101.625863 3.119408, 101.627563 3.128478, 101.628139 3.129175, 101.629216 3.12883, 101.629841 3.128664, 101.629859 3.127173, 101.628952 3.121961, 101.629211 3.121288, 101.629567 3.120373, 101.629382 3.118936, 101.629334 3.118279, 101.629825 3.117269))"
221,SEKSYEN 21 TIMUR,12,774,320.0,1,"POLYGON ((101.626463 3.112877, 101.625839 3.111886, 101.625097 3.111301, 101.623926 3.110144, 101.623341 3.109416, 101.623134 3.108769, 101.622919 3.104982, 101.619421 3.106965, 101.622515 3.110948, 101.621896 3.111435, 101.621867 3.113046, 101.62479 3.11255, 101.624999 3.114113, 101.626681 3.113989, 101.626463 3.112877))"
222,SEKSYEN 34 SHAH ALAM,196,19921,144.0,1,"POLYGON ((101.514092 3.003715, 101.497177 3.003687, 101.497282 3.012784, 101.493154 3.016675, 101.494213 3.040799, 101.49586 3.040736, 101.495913 3.040705, 101.49639 3.040429, 101.496409 3.040423, 101.497099 3.040188, 101.498281 3.040131, 101.499278 3.040229, 101.499815 3.040282, 101.500838 3.040046, 101.501886 3.039991, 101.502488 3.03996, 101.502669 3.039951, 101.503901 3.03988, 101.504152 3.039865, 101.504523 3.039844, 101.50796 3.039646, 101.509063 3.040136, 101.509729 3.041678, 101.5105 3.042309, 101.51096 3.042609, 101.511295 3.04229, 101.511365 3.042223, 101.51164 3.041634, 101.511795 3.041222, 101.512076 3.03975, 101.51387 3.036178, 101.514625 3.034674, 101.516037 3.031863, 101.51916 3.02955, 101.519249 3.029483, 101.519412 3.029648, 101.519875 3.030117, 101.520491 3.030742, 101.520904 3.032112, 101.521262 3.033301, 101.521409 3.034225, 101.521647 3.03572, 101.522066 3.036277, 101.523362 3.036207, 101.523506 3.03579, 101.523798 3.034419, 101.523872 3.034072, 101.524433 3.03066, 101.524627 3.02948, 101.525002 3.029446, 101.524643 3.017807, 101.52608 3.014862, 101.514652 3.008587, 101.513145 3.006133, 101.513285 3.004976, 101.514092 3.003715))"
223,SEKSYEN 4 WANGSA MAJU,2069,276073,120.0,2,"POLYGON ((101.735211 3.202076, 101.736977 3.203996, 101.737194 3.204299, 101.738148 3.205338, 101.740207 3.206507, 101.743435 3.202978, 101.744299 3.202093, 101.744195 3.201986, 101.744156 3.201947, 101.744023 3.201811, 101.742744 3.200506, 101.740982 3.199022, 101.737215 3.197866, 101.736636 3.199974, 101.736628 3.200006, 101.735211 3.202076))"
224,"SEKSYEN 4, 5 DAN 6 KOTA DAMANSARA",2569,353373,110.5625,16,"POLYGON ((101.595803 3.127261, 101.563797 3.127681, 101.559934 3.138524, 101.554469 3.154064, 101.55602 3.154015, 101.557265 3.15406, 101.563861 3.157522, 101.568488 3.166888, 101.575088 3.163613, 101.57608 3.16535, 101.576973 3.165796, 101.578661 3.165895, 101.579498 3.164281, 101.580745 3.163166, 101.581936 3.162571, 101.583673 3.162372, 101.587692 3.162273, 101.589677 3.161529, 101.590881 3.159839, 101.591265 3.158303, 101.591215 3.156169, 101.599477 3.158846, 101.599699 3.156887, 101.598595 3.149868, 101.597656 3.145177, 101.59692 3.135147, 101.595803 3.127261))"
